,#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,Year
783,782,Drew VerHagen,STL,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
784,783,Marcus Stroman,CHC,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
785,784,Pierce Johnson,- - -,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
786,785,Taylor Rogers,SFG,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
787,786,Lucas Sims,CIN,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
788,787,Daniel Norris,CLE,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
789,788,Matt Bowman,NYY,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
790,789,Blake Snell,SDP,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
791,790,Steven Okert,MIA,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
792,791,Robert Stephenson,- - -,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
793,792,Carl Edwards Jr.,WSN,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
794,793,Jakob Junis,SFG,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
795,794,Clay Holmes,NYY,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
796,795,Tayler Scott,- - -,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
797,796,Jake Faria,BOS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
798,797,Joey Krehbiel,BAL,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
799,798,Kyle Barraclough,BOS,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
800,799,Max Fried,ATL,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
801,800,Tyler Duffey,CHC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
802,801,Chris Stratton,- - -,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
803,802,Dominic Leone,- - -,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
804,803,JT Chargois,MIA,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
805,804,Zach Eflin,TBR,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
806,805,Alex Wood,SFG,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
807,806,Matt Strahm,PHI,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
808,807,Austin Adams,ARI,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
809,808,Alec Mills,CIN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
810,809,Paul Sewald,- - -,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
811,810,Chris Flexen,- - -,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
812,811,Brent Suter,COL,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
813,812,Michael Wacha,SDP,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
814,813,Kevin Gausman,TOR,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
815,814,Jose Berrios,TOR,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
816,815,Josh Hader,SDP,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
817,816,Wandy Peralta,NYY,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
818,817,Frankie Montas,NYY,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
819,818,Joel Payamps,MIL,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
820,819,Ty Blach,COL,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
821,820,Tyler Glasnow,TBR,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
822,821,Amir Garrett,KCR,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
823,822,Yunior Marte,PHI,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
824,823,Jackson Stephens,ATL,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
825,824,Hyun-Jin Ryu,TOR,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
826,825,Dereck Rodriguez,- - -,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
827,826,Thyago Vieira,MIL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
828,827,Jose Leclerc,TEX,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
829,828,Jorge Lopez,- - -,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
830,829,Carlos Estevez,LAA,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
831,830,Jose Ruiz,- - -,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
832,831,Chi Chi Gonzalez,MIA,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
833,832,Duane Underwood Jr.,PIT,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
834,833,Andres Machado,WSN,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
835,834,Anthony Banda,WSN,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
836,835,Paul Blackburn,OAK,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
837,836,Wes Parsons,TOR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
838,837,Julio Urias,LAD,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
839,838,Emilio Pagan,MIN,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
840,839,Buck Farmer,CIN,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
841,840,Dylan Covey,- - -,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
842,841,Michael Lorenzen,- - -,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
843,842,Matt Dermody,BOS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
844,843,Joe Mantiply,ARI,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
845,844,Sam Moll,- - -,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
846,845,Jon Gray,TEX,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
847,846,Ben Lively,CIN,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
848,847,Reyes Moronta,LAA,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
849,848,Chad Kuhl,WSN,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
850,849,Giovanny Gallegos,STL,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
851,850,Scott Barlow,- - -,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
852,851,Yacksel Rios,OAK,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
853,852,Kyle Finnegan,WSN,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
854,853,Chase De Jong,PIT,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
855,854,German Marquez,COL,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
856,855,Tim Mayza,TOR,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
857,856,Trevor Gott,- - -,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
858,857,Austin Voth,BAL,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
859,858,Silvino Bracho,CIN,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
860,859,Yency Almonte,LAD,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
861,860,Adam Engel,SDP,5,6,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,.000,2023
862,861,Rob Zastryzny,PIT,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
863,862,Ben Heller,ATL,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
864,863,Justin Topa,SEA,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
865,864,Jimmy Yacabonis,NYM,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
866,865,Alan Busenitz,CIN,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
867,866,Cole Sulser,ARI,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
868,867,Keynan Middleton,- - -,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
869,868,Adam Cimber,TOR,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
870,869,Austin Pruitt,OAK,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
871,870,Kevin Herget,CIN,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
872,871,Andrew Heaney,TEX,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
873,872,Matthew Boyd,DET,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
874,873,Zack Weiss,- - -,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
875,874,Mike Mayers,KCR,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
876,875,Nick Pivetta,BOS,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
877,876,Jose De Leon,MIN,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
878,877,Marco Gonzales,SEA,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
879,878,Lucas Giolito,- - -,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
880,879,Antonio Senzatela,COL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
881,880,Hunter Harvey,WSN,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
882,881,Kendall Graveman,- - -,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
883,882,Tyler Rogers,SFG,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
884,883,Mark Leiter Jr.,CHC,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
885,884,Chad Green,TOR,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
886,885,Nick Wittgren,KCR,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
887,886,Miguel Castro,ARI,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
888,887,Luis Castillo,SEA,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
889,888,Jimmy Cordero,NYY,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
890,889,Brad Keller,KCR,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
891,890,Joe Jimenez,ATL,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
892,891,Devin Williams,MIL,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
893,892,Zack Littell,- - -,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
894,893,Wander Suero,LAD,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
895,894,Sean Manaea,SFG,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
896,895,Luis Severino,NYY,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
897,896,Ryne Stanek,HOU,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
898,897,Nick Burdi,CHC,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
899,898,Jordan Romano,TOR,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
900,899,John Curtiss,NYM,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
901,900,Carlos Rodon,NYY,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
902,901,Aaron Nola,PHI,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
903,902,Brandon Woodruff,MIL,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
904,903,Spencer Turnbull,DET,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
905,904,Jake Reed,LAD,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
906,905,Tejay Antone,CIN,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
907,906,Kyle Freeland,COL,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
908,907,Aaron Bummer,CHW,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
909,908,John Means,BAL,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
910,909,Gerardo Reyes,LAA,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
911,910,Ryan Borucki,PIT,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
912,911,Tyler Mahle,MIN,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
913,912,Reynaldo Lopez,- - -,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
914,913,Yonny Chirinos,- - -,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
915,914,Victor Gonzalez,LAD,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
916,915,Brent Honeywell,- - -,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
917,916,Ryan Yarbrough,- - -,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
918,917,Jordan Montgomery,- - -,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
919,918,Austin Gomber,COL,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
920,919,Erik Swanson,TOR,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
921,920,Bryan Abreu,HOU,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
922,921,Jeff Brigham,NYM,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
923,922,Ryan Thompson,- - -,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
924,923,Julian Merryweather,CHC,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
925,924,Brock Stewart,MIN,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
926,925,Vinny Nittoli,NYM,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
927,926,Tim Hill,SDP,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
928,927,Brennan Bernardino,BOS,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
929,928,Reed Garrett,- - -,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
930,929,Luke Weaver,- - -,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
931,930,Touki Toussaint,- - -,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
932,931,Luis Ortiz,PHI,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
933,932,Sean Newcomb,OAK,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
934,933,Trevor Williams,WSN,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
935,934,Tanner Banks,CHW,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
936,935,Sean Reid-Foley,NYM,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
937,936,Pablo Lopez,MIN,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
938,937,Domingo Acevedo,OAK,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
939,938,Meibrys Viloria,CLE,10,3,4,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,.000,2023
940,939,Raisel Iglesias,ATL,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
941,940,Domingo German,NYY,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
942,941,Jose Castillo,SDP,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
943,942,Gabe Speier,SEA,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
944,943,Dinelson Lamet,- - -,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
945,944,Jalen Beeks,TBR,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
946,945,Sam Coonrod,NYM,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
947,946,Ranger Suarez,PHI,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
948,947,Thomas Pannone,MIL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
949,948,Michael Kopech,CHW,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
950,949,Javy Guerra,- - -,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
951,950,Framber Valdez,HOU,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
952,951,Justin Steele,CHC,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
953,952,Josh Taylor,KCR,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
954,953,Matt Gage,HOU,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
955,954,Jeff Hoffman,PHI,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
956,955,Jonathan Hernandez,TEX,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
957,956,Jack Flaherty,- - -,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
958,957,Daniel Duarte,CIN,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
959,958,Albert Abreu,NYY,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
960,959,Spenser Watkins,OAK,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
961,960,Genesis Cabrera,- - -,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
962,961,Diego Castillo,SEA,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
963,962,Jimmy Herget,LAA,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
964,963,Tanner Scott,MIA,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
965,964,Mitch Keller,PIT,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
966,965,Cristian Javier,HOU,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
967,966,Tanner Rainey,WSN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
968,967,Taylor Clarke,KCR,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
969,968,Justin Lawrence,COL,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
970,969,Jeffrey Springs,TBR,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
971,970,Jose Cuas,- - -,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
972,971,Trevor Megill,MIL,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
973,972,Nabil Crismatt,- - -,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
974,973,Evan Phillips,LAD,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
975,974,Tyler Alexander,DET,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
976,975,Drew Smith,NYM,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
977,976,Angel Perdomo,PIT,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
978,977,Jose Alvarado,PHI,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
979,978,Trey Wingenter,DET,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
980,979,Adbert Alzolay,CHC,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
981,980,Jose Rodriguez,SEA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
982,981,Ian Gibaut,CIN,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
983,982,Nestor Cortes,NYY,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
984,983,Brett Kennedy,CIN,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
985,984,Dennis Santana,NYM,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
986,985,Tayler Saucedo,SEA,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
987,986,Garrett Cleavinger,TBR,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
988,987,Trent Thornton,- - -,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
989,988,Tyler Gilbert,ARI,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
990,989,Brock Burke,TEX,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
991,990,Peter Lambert,COL,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
992,991,Logan Webb,SFG,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
993,992,Pete Fairbanks,TBR,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
994,993,Triston McKenzie,CLE,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
995,994,Phil Maton,HOU,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
996,995,Ryan Helsley,STL,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
997,996,Anthony Misiewicz,- - -,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
998,997,James Naile,STL,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
999,998,Tyler Kinley,COL,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
1000,999,Andrew Suarez,STL,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
1001,1000,Carson Fulmer,LAA,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
